ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.cond,ela_meta.costs_runtime,ela_level.costs_runtime
-0.019049501990097993,0.025731383707284006,0.01455717184482347,0.017078795331188782,0.008055241378877174,-0.008800519238829636,0.008949271364271321
-0.021098393852105872,0.008411478737878095,0.015105429730999733,0.02987622088347068,0.00991405894943794,-0.0065784068784808455,0.010765586190845677
-0.03618261235332519,0.025736570917122198,-0.02720681303827098,-0.019644238430496612,-0.015937307005287036,-0.01174893620173442,0.0008864510834504236
-0.017718145759100235,0.030135026356522446,0.0011048424737061802,0.020475060999878805,0.01132842844380078,-0.006774324897322717,0.007836002212386332
0.028520222547182724,0.041174771286280644,-0.00887903100889939,0.0038125386168504105,0.008550116948166521,0.02069195102620751,0.012117805462209644
-0.010666555688663825,0.031019433475216154,-0.002877250893942529,0.020570663048737652,0.010626160207776113,0.02294398355735332,0.009672203438351266
0.034789481855542974,0.041393670946321244,-0.010870907708512902,0.001185938662648503,0.008113628158608676,0.020852625632314086,0.011953050816019035
-0.007870190004684736,0.051761887682166156,-0.008811175480220179,0.015380030891741947,0.009882774604022378,-0.025211558676547882,-0.004709893844485662
-0.01648834807212217,0.04471559371990222,-0.0036684523955364473,0.013310459001284325,0.008039660039304617,-0.037967371269231553,-0.0065994968196264455
0.013534960108461627,0.06734391913868816,-0.009072210792020667,0.004331534799355302,0.00757854062051462,-0.020136941114468704,-0.02289568390015963
0.00239819248474955,0.0611971897910393,-0.017389663486533733,0.008988686341545876,0.002658677802822912,-0.025483047087869446,-0.012722605570350187
-0.01674219573364753,0.03421811980802308,0.006304516886686184,0.013618634395860568,0.009672300422299286,-0.022696780315246568,-0.0028480952215280617
-0.0049906579762104344,0.03938595636266738,-0.01907027262630274,0.020430455415511976,0.008799305889917956,-0.007196570115046153,0.00867457653984239
-0.0035548687533892703,0.031208296668990273,-0.016504450864667373,-0.012161319547166455,0.010334168167223233,0.029170708220156445,0.006004319003031736
0.02679752095478156,0.056591019979307315,-0.005535956869989016,-0.00022954946726050363,0.005152293392803556,0.014086801986688654,-0.01840127980593751
0.0156666761292331,0.053057678874157924,-0.012214292760818384,0.012065051480630841,0.005333438294107514,-0.004847021464658745,0.0005172984706301453
-0.033777651006179056,0.026203174979354742,-0.012506027023619217,-0.014636087546645433,0.002912161964703671,-0.028724824107552754,0.0009868482077182161
0.05921690946924555,0.04046732781339558,-0.006584279624991957,0.0009428466614268272,0.00671915718861225,0.01609368255033162,0.016846376813995114
-0.017413995310324396,-0.002462885768853333,0.01965946315978378,0.02392040130326146,0.008903157235209484,0.0035252689843257635,0.014320934517321545
0.000815737682085076,-0.04884357571692396,-0.10158533173741596,-0.09145681063109785,0.007407503336796906,-0.10091307687715845,0.00021420388341369945
-0.011881242627436485,0.01456654013894306,0.01148866676196414,0.015902505443418806,-0.009693275754392161,0.027024071862686006,0.010755227436091948
-0.026017295480480537,-0.017149052695331478,0.04486865409865384,0.028162938821872683,-0.006298915766847872,0.010244329156006019,0.012818732431234305
-0.018890306500906673,0.023459087014690603,-0.037984194341894845,0.0217181956663022,0.006725607163510433,-0.05536325536129964,0.006516254012398276
0.016208434590027306,0.0366066401168768,-0.007671010650031979,0.007775544614735362,0.009225185304082853,0.02193328938780143,0.012993693650593873
-0.003671713208447072,0.04711721787236485,0.011473965477548177,-0.11389543032547776,0.007850719432347927,0.12562441206324645,-0.028501216604918566
0.04406938727269159,0.05175368525670674,-0.0390726598148235,0.013278602819754433,0.0026641846137575517,-0.03984012289311599,0.013480718993675585
-0.00914498116930966,0.04036519117518089,-0.03461741467652218,0.0033188537947798115,0.010423352743965737,-0.03676973726632159,0.004108283776157232
